Efectivo;Activo Corriente;
Sobregiros bancarios;Pasivo Corriente;
Descuentos concedidos por pronto pago;Patrimonio Gastos - GF;
Cuentas por cobrar comerciales;Activo Corriente;
Descuentos obtenidos por pronto pago;Patrimonio Ingresos - IF;
Estimación de cuentas de cobranza dudosa;Activo Corriente NEGATIVO;
Devoluciones y rebajas sobre ventas;Patrimonio Ingresos NEGATIVO - ING;
Entregas a rendir cuenta;Activo Corriente;
Mercaderías;Activo Corriente;
Propiedad, planta y equipo;Activo No Corriente;
Intangibles;Activo No Corriente;
Anticipos a Proveedores;Activo Corriente;
Gastos de viaje Grte Gral;Patrimonio Gastos - GA;
Seguros pagados por anticipado;Activo Corriente;
Depreciación acumulada;Activo No Corriente NEGATIVO;
Tributos por pagar - IGV;Pasivo Corriente;
Amortización acumulada;Activo No Corriente NEGATIVO;
Remuneraciones por pagar;Pasivo Corriente;
Anticipos de clientes;Pasivo Corriente;
Cuentas por pagar comerciales;Pasivo Corriente;
Otros Ingresos;Patrimonio Ingresos - OI;
Obligaciones financieras;Pasivo No Corriente;
Gastos de servicios admin;Patrimonio Gastos - GA;
Gastos de servicios ventas;Patrimonio Gastos - GV;
Otros gastos;Patrimonio Gastos - OG;
Capacitación personal de administración;Patrimonio Gastos - GA;
Capacitación personal de ventas;Patrimonio Gastos - GV;
Gastos limpieza area de admin;Patrimonio Gastos - GA;
Gastos limpieza area de ventas;Patrimonio Gastos - GV;
Gasto por incobrable;Patrimonio Gastos - GA;
Publicidad;Patrimonio Gastos - GV;
Gastos de personal admin;Patrimonio Gastos - GA;
Gastos de personal ventas;Patrimonio Gastos - GV;
Asesoria contable;Patrimonio Gastos - GA;
Costo de ventas;Patrimonio Gastos - CV;
Ventas;Patrimonio Ingresos - ING;
Capital;Patrimonio Cuentas;
Reserva legal;Patrimonio Cuentas;
Resultados Acumulados;Patrimonio Cuentas;
Efectivo;Activo Corriente;
Sobregiros bancarios;Pasivo Corriente;
Descuentos concedidos por pronto pago;Patrimonio Gastos - GF;
Cuentas por cobrar comerciales;Activo corriente;
Materia Prima y materiales auxiliares;Activo corriente;
